Date,GEO Region_Asia,GEO Region_Australia / Oceania,GEO Region_Canada,GEO Region_Europe,GEO Region_Mexico,Passenger Count,GEO Region_US
2006-07-31,0.0,0.0,0.0,0.0,0.0,2102346.0,1.0
2006-07-31,0.0,0.0,0.0,0.0,0.0,299874.0,1.0
2006-08-31,0.0,0.0,0.0,0.0,0.0,11185.0,0.0
2006-08-31,0.0,0.0,0.0,0.0,1.0,60547.0,0.0
2006-08-31,0.0,0.0,0.0,1.0,0.0,209005.0,0.0
2006-08-31,0.0,0.0,1.0,0.0,0.0,138413.0,0.0
2006-08-31,0.0,1.0,0.0,0.0,0.0,43707.0,0.0
2006-08-31,1.0,0.0,0.0,0.0,0.0,359767.0,0.0
2006-08-31,0.0,0.0,0.0,0.0,0.0,2046778.0,1.0
2006-08-31,0.0,0.0,0.0,0.0,0.0,295624.0,1.0
2006-09-30,0.0,0.0,0.0,0.0,0.0,6236.0,0.0
2006-09-30,0.0,0.0,0.0,0.0,1.0,36209.0,0.0
2006-09-30,0.0,0.0,0.0,1.0,0.0,199915.0,0.0
2006-09-30,0.0,0.0,1.0,0.0,0.0,105686.0,0.0
2006-09-30,0.0,1.0,0.0,0.0,0.0,37491.0,0.0
2006-09-30,1.0,0.0,0.0,0.0,0.0,310117.0,0.0
2006-09-30,0.0,0.0,0.0,0.0,0.0,1811995.0,1.0
2006-09-30,0.0,0.0,0.0,0.0,0.0,230670.0,1.0
2006-10-31,0.0,0.0,0.0,0.0,0.0,6479.0,0.0
2006-10-31,0.0,0.0,0.0,0.0,1.0,49559.0,0.0
2006-10-31,0.0,0.0,0.0,1.0,0.0,190765.0,0.0
2006-10-31,0.0,0.0,1.0,0.0,0.0,96181.0,0.0
2006-10-31,0.0,1.0,0.0,0.0,0.0,38135.0,0.0
2006-10-31,1.0,0.0,0.0,0.0,0.0,336711.0,0.0
2006-10-31,0.0,0.0,0.0,0.0,0.0,1886955.0,1.0
2006-10-31,0.0,0.0,0.0,0.0,0.0,247160.0,1.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,8051.0,0.0
2006-11-30,0.0,0.0,0.0,0.0,1.0,62252.0,0.0
2006-11-30,0.0,0.0,0.0,1.0,0.0,154520.0,0.0
2006-11-30,0.0,0.0,1.0,0.0,0.0,84196.0,0.0
2006-11-30,0.0,1.0,0.0,0.0,0.0,37604.0,0.0
2006-11-30,1.0,0.0,0.0,0.0,0.0,326283.0,0.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,1753164.0,1.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,245367.0,1.0
2006-12-31,0.0,0.0,0.0,0.0,0.0,10776.0,0.0
2006-12-31,0.0,0.0,0.0,0.0,1.0,66137.0,0.0
2006-12-31,0.0,0.0,0.0,1.0,0.0,162866.0,0.0
2006-12-31,0.0,0.0,1.0,0.0,0.0,97078.0,0.0
2006-12-31,0.0,1.0,0.0,0.0,0.0,50131.0,0.0
2006-12-31,1.0,0.0,0.0,0.0,0.0,335538.0,0.0
2006-12-31,0.0,0.0,0.0,0.0,0.0,1758775.0,1.0
2006-12-31,0.0,0.0,0.0,0.0,0.0,236129.0,1.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,10213.0,0.0
2007-01-31,0.0,0.0,0.0,0.0,1.0,57581.0,0.0
2007-01-31,0.0,0.0,0.0,1.0,0.0,160052.0,0.0
2007-01-31,0.0,0.0,1.0,0.0,0.0,91428.0,0.0
2007-01-31,0.0,1.0,0.0,0.0,0.0,52567.0,0.0
2007-01-31,1.0,0.0,0.0,0.0,0.0,348352.0,0.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,1593092.0,1.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,213751.0,1.0
2007-02-28,0.0,0.0,0.0,0.0,0.0,8060.0,0.0
2007-02-28,0.0,0.0,0.0,0.0,1.0,48449.0,0.0
2007-02-28,0.0,0.0,0.0,1.0,0.0,136934.0,0.0
2007-02-28,0.0,0.0,1.0,0.0,0.0,88899.0,0.0
2007-02-28,0.0,1.0,0.0,0.0,0.0,37745.0,0.0
2007-02-28,1.0,0.0,0.0,0.0,0.0,300871.0,0.0
2007-02-28,0.0,0.0,0.0,0.0,0.0,1499555.0,1.0
2007-02-28,0.0,0.0,0.0,0.0,0.0,203009.0,1.0
2007-03-31,0.0,0.0,0.0,0.0,0.0,9346.0,0.0
2007-03-31,0.0,0.0,0.0,0.0,1.0,56891.0,0.0
2007-03-31,0.0,0.0,0.0,1.0,0.0,177862.0,0.0
2007-03-31,0.0,0.0,1.0,0.0,0.0,101439.0,0.0
2007-03-31,0.0,1.0,0.0,0.0,0.0,40712.0,0.0
2007-03-31,1.0,0.0,0.0,0.0,0.0,359749.0,0.0
2007-03-31,0.0,0.0,0.0,0.0,0.0,1847230.0,1.0
2007-03-31,0.0,0.0,0.0,0.0,0.0,250915.0,1.0
2007-04-30,0.0,0.0,0.0,0.0,0.0,8740.0,0.0
2007-04-30,0.0,0.0,0.0,0.0,1.0,59705.0,0.0
2007-04-30,0.0,0.0,0.0,1.0,0.0,195461.0,0.0
2007-04-30,0.0,0.0,1.0,0.0,0.0,101235.0,0.0
2007-04-30,0.0,1.0,0.0,0.0,0.0,41399.0,0.0
2007-04-30,1.0,0.0,0.0,0.0,0.0,337435.0,0.0
2007-04-30,0.0,0.0,0.0,0.0,0.0,1882894.0,1.0
2007-04-30,0.0,0.0,0.0,0.0,0.0,264577.0,1.0
2007-05-31,0.0,0.0,0.0,0.0,0.0,8809.0,0.0
2007-05-31,0.0,0.0,0.0,0.0,1.0,51609.0,0.0
2007-05-31,0.0,0.0,0.0,1.0,0.0,209613.0,0.0
2007-05-31,0.0,0.0,1.0,0.0,0.0,114249.0,0.0
2007-05-31,0.0,1.0,0.0,0.0,0.0,37227.0,0.0
2007-05-31,1.0,0.0,0.0,0.0,0.0,360350.0,0.0
2007-05-31,0.0,0.0,0.0,0.0,0.0,1986805.0,1.0
2007-05-31,0.0,0.0,0.0,0.0,0.0,311805.0,1.0
